"COP","country","ID","title","date","source","text"
"COP25","Ireland","COP25_Ireland1","Spain to host COP25 climate talks after Chile withdraws","November 1, 2019 Friday 6:26 PM GMT","RTE News","Spain will host the COP25 climate summit in December, the UN said, after Chile abandoned plans to hold it due to deadly anti-government protests. ""We are pleased to announce the COP Bureau has agreed that COP25 will take place from 2-13 December in Madrid,"" United Nations climate chief Patricia Espinosa said on Twitter. We are pleased to announce the COP Bureau has agreed that # COP25 will take place from 2-13 December in Madrid, Spain. HYPERLINK https://t.co/4XZBBLOd15 pic.twitter.com/YI12XRaroj  Patricia Espinosa C. (@PEspinosaC) November 1, 2019 After more than 10 days of street protests, Chilean President Sebastian Pinera said his country was not in a position to host either the 2-13 December climate convention as well as the 16-17 November Asia Pacific Economic Cooperation (APEC) summit. ""This has been a very difficult decision, a decision that has been deeply painful because we know exactly how important APEC and COP are for Chile and the world,"" said Mr Pinera. ""When a father has problems, he must always prioritise his family over other options. The same goes for a president, he must always put his own compatriots first, ahead of any other considerations,"" he added. He said Spanish Prime Minister Pedro Sanchez had ""made a generous offer to host the COP25 summit in Madrid"" on the originally scheduled dates which the Spanish government promptly confirmed. \"
"COP25","Ireland","COP25_Ireland2","COP25 climate summit unravelling, facing failure","December 14, 2019 Saturday 1:07 PM GMT","RTE News","A UN climate summit in Madrid is on life support after marathon negotiations between countries left them more divided than ever over on how to fight global warming and pay for its ravages. Diplomats from rich nations, emerging giants and the world's poorest countries, each for their own reasons, found fault in a draft agreement put forward by host Chile in a botched attempt to strike common ground. But the 12-day talks, now deep into overtime, had retreated even further from this goal today. Marshall Islands climate envoy Tina Stege said:""It appears that we are going backwards on the issue of ambition when we should be calling for a quantum leap in the other direction."" ""I need to go home and look my children in the eye and say we got an outcome that is going to ensure their future, and the future of all of our children,"" she added, a catch in her voice. Veteran observers of UN climate talks were stunned by the state of play nearly 24 hours after the negotiations had been set to close. \"
"COP25","Ireland","COP25_Ireland3","Pelosi tells COP25 summit they can still count on US","December 2, 2019 Monday 5:15 PM GMT","RTE News","US Congressional leader Nancy Pelosi has told the "" COP25 "" conference that the world could still count on the United States despite President Donald Trump's decision to pull out of the Paris Agreement. Speaking in Madrid on the first day of a two-week global climate summit, Ms Pelosi said states and cities which are home to two-thirds of the US population are committed to the targets set by the 2015 agreement, as are all the Democratic candidates for president, according the US research groups. ""We're here to say to all of you, on behalf of the House of Representatives and the Congress of the United States, we're still in it, we're still in it,"" Ms Pelosi said to applause at a forum of heads of state from climate-vulnerable nations. The United Nations launched the summit this morning amid growing pressure on world leaders to prove they can muster the political will to avert the most catastrophic impacts of global warming. Leading the 15-strong Congressional delegation, Ms Pelosi came to Madrid even as her colleagues in the House consider articles of impeachment against the US President. Mr Trump has dismissed global warming as a hoax, and dismantled many of the climate and environmental protection policies set in place by his predecessor Barack Obama. Last month he gave formal notice of the US withdrawal from the 196-nation Paris climate treaty, which calls for capping global warming at well below 2 degrees Celsius, and 1.5 degree Celsius if possible. \"
"COP25","Ireland","COP25_Ireland4","Cop25: Who will be there, and what will they agree?","December 3, 2019 Tuesday","The Irish Times","Cop25 : What is it? The annual ""conference of the parties"" (Cop) is the gathering of almost every country on earth under the auspices of the UN Framework Convention on Climate Change to consider how best to respond to the growing climate crisis. This year is the 25th gathering and it had to be relocated from Chile to Madrid due to civil unrest. The blueprint for decarbonising the world and arresting global heating is the landmark 2015 Paris Agreement. What's different about this climate-change meeting? This gathering has to sign off on a ""Paris rulebook"" as the agreement kicks in on January 1st. It heralds the end of non-legally binding targets in reducing carbon emissions and adopting renewable energy. The era of wealthy countries, including Ireland, having to step up ambition on climate action is imminent. Since Cop24, people across the world have raised their collective voice in demanding politicians address the climate issue with much more urgency, and end domination of fossil fuels in their economies. Nations are equipped with the knowledge and resources to confront changes; ""what's lacking is political will to tax and limit coal, fossil fuels, and carbon""- is Guterres's verdict. Who will be there? Leaders of almost 200 countries will attend Cop25 . The notable absentee will be supreme climate denier US president Donald Trump. Last year, he sent low-level public servants to a make a case for ""clean coal""- it provoked protests. The US will leave the Paris Agreement in November, if Trump is re-elected. Other big emitters such as China, Russia, India and Brazil will be present. Countries headed by climate sceptics such as Brazil (Jair Bolsonaro) and Australia (Scott Morrison) and those with big fossil fuel outputs, such as Saudi Arabia, represent the biggest block to progress. What is Ireland's stance ? Ireland comes to the Cop25 table with more credibility than its ""laggard"" status last year, confirmed by the latest rankings in the Climate Change Performance Index. This is primarily because of cross-party agreement on ways forward and the Government's climate action plan. Ireland is supporting greater international ambition, though rowing in a European green new deal to be unveiled shortly would be hugely demanding. Transport, agriculture and poor-quality buildings pose an immense challenge for the Republic, which will say a booming economy means the emissions curve is going in the wrong direction. What are the big decisions? Signing off on the Paris rulebook is the big one. It would level the playing field and ensure watertight monitoring of emissions including how ""carbon credits"" are measured and applied, notably in forestry. A deal of sorts will be forged; the question is how significant. It is essential to secure more ambitious national commitments - particularly from the main emitters - to immediately start reducing emissions at a pace consistent to reaching carbon neutrality by 2050. Regardless, many countries will join the higher ambition club. EU member states will back efforts to make Europe the first carbon-neutral continent. Ireland has yet to fully commit in that regard. \"
"COP25","Ireland","COP25_Ireland5","Chile withdraws from hosting summits after protests","October 30, 2019 Wednesday 3:38 PM GMT","RTE News","Chile has withdrawn as host of the APEC trade summit in November and the COP25 climate summit in December after several weeks of violent unrest. Under-fire Chilean President Sebastian Pinera made the announcement this afternoon. The APEC summit was scheduled to bring together 20 world leaders, including US President Donald Trump and Chinese President Xi Jinping, over 16-17 November. The COP25 ""This has been a very difficult decision, a decision that causes us a lot of pain, because we fully understand the importance of APEC and COP-25 for Chile and for the world,"" Mr Pinera said in a brief statement from La Moneda palace in Santiago. Riots, arson and protests over inequality this month have left at least 18 dead, 7,000 arrested and Chilean businesses hit with losses of around $1.4 billion. The capital city's metro public transport suffered nearly $400 million in damages. With Mr Pinera's popularity at an all-time low, Chileans were calling for new protests and the United Nations was sending a team to investigate allegations of human rights abuses. The cancellation of the trade summit caught the Trump administration by surprise, a White House official said. The official said the US learned about the decision from news reports and was seeking more information. \"
"COP25","Ireland","COP25_Ireland6","Climate talks Five things we learned from the COP25 talksKevin O'Sullivan","December 16, 2019 Monday","The Irish Times","2 Science shows last six years are hottest on record Almost as if timed to concentrate negotiator minds at COP25 , a series of reports confirmed the hardening science in the days beforehand. As 2019 concludes, this has been a decade of exceptional global heat, retreating ice and record sea levels driven by greenhouse gases (GHGs) from human activities. We are facing an intolerable 3.2-degree temperature rise as is. The past six years have been the hottest in the Arctic; Greenland's ice melt is accelerating. Earlier this year, it was confirmed sea level rise this century is likely to be at least 1.1 metres. Johan Rockstr\'f6m of Potsdam Institute for Climate Impact Research, in a climate emergency debate, distilled those trends: ""The red thread in science over the past 20 years is that we have underestimated the pace of change and the risks we are facing."" 1 There is a profound disconnect between people and politicians As the UN climate talks moved into crunch phase, almost 200 global leaders landed in Madrid to push for a final deal. A palpable gloom, however, did not lift. In the past it has done so when political pragmatism was applied. This summit aimed to hammer out the final implementation details of the landmark 2015 Paris climate accord, and expectations were high of a collective political call for raising climate targets. It was also hoped to set rules for an international carbon trading system and a method to provide money for poor countries that suffer most from climate catastrophes. This year was different. Politicians arrived with the voice of young people ringing in their rings, after a year when millions took to the streets across the planet fired up by the stark, science-based rhetoric of Greta Thunberg. Everywhere they turned there were young, highly-committed climate activists, who know their climate science, to remind them of what was urgently needed and demanding higher ambition, namely net-zero emissions by 2050. But it served to underline the disconnect between what is being demanded on the street, and the old political approach with its painstaking, closed, jargon-filled bureaucracy, often deferring to national interest - when the science is saying we have 10 years to halve emissions and stop irreversible effects of global heating induced by humans. The global movement is such that this prevarication will no longer be accepted. There are many, many thousands of young people demanding action in every Paris agreement signatory country. \"
"COP25","Ireland","COP25_Ireland7","Amazon countries sign forest pact","September 7, 2019 Saturday 11:02 AM GMT","RTE News","Seven Amazonian countries have signed a pact to protect the world's largest tropical forest via disaster response coordination and satellite monitoring, amid recent fires that torched thousands of square kilometres of the jungle. The presidents of Colombia, Bolivia, Ecuador and Peru, the vice-president of Suriname and the natural resource minister of Guyana attended yesterday's one-day summit in the jungle city of Leticia in southern Colombia. ""This meeting will live on as a coordination mechanism for the presidents that share this treasure - the Amazon,"" Colombian President Ivan Duque said at the signing, adding the countries will meet again at the United Nations Climate Change conference in December. ""Goodwill alone is not enough anymore,"" Peruvian President Martin Vizcarra added. The countries will create a natural disaster network so they can better cooperate in the face of events like large-scale fires, the pact said. The group will also work on reforestation initiatives, increase efforts to monitor deforestation activity via satellite, develop education initiatives and increase the role of indigenous communities in sustainable development, it added. The countries also agreed to share information on activities like illegal mining that hurt conservation, the pact said. \"
"COP25","Ireland","COP25_Ireland8","'Non-binary' recognised as word by Collins Dictionary","November 7, 2019 Thursday 9:36 AM GMT","RTE News","Collins Dictionary has recognised the word ""non-binary"", whilst also naming ""climate strike"" as its Word of the Year 2019. The dictionary said it added the term ""non-binary"" in recognition of ""changes in how people relate to each other and define themselves"". A person who identifies as non-binary does not define themselves exclusively as masculine or feminine and generally prefers they/them pronouns, rather than he/she. Collins defines non-binary, which can also be spelled nonbinary, as ""relating to a gender or sexual identity that does not conform to the binary categories of male or female, heterosexual or homosexual"". Pop star Sam Smith came out as non-binary this year, sparking a debate over gender and sexuality, and was among the first celebrities to ask the public to refer to them using they/them pronouns. Collins has recognised the term ""bopo"", short for body positivity, a movement which advocates people being proud of their bodies whatever their shape or size. ""Climate strike"" - the word of the year - refers to a snowballing movement sparked by 16-year-old environmental campaigner Greta Thunberg's student protests outside the Swedish parliament. The term was first registered by Collins' lexicographers in November 2015 when the first event of its kind took place during the United Nations Climate Change Conference in Paris. It was used on average 100 times more in 2019 than the previous year. Alongside ""climate strike"", Collins has also added the term ""rewilding"", the practice of returning land to a wild state. \"
"COP25","Ireland","COP25_Ireland9","Jules Kortenhorst: US institutions defying Trump to abide by climate accords","December 12, 2019 Thursday","Irish Examiner","<strong>By Junes Kortenhorst and Andrew Steer</strong> Non-federal US actors - from state governments to private businesses - have laid a strong foundation for effective climate action, says Jules Kortenhorst and Andrew Steer The United Nations Climate Change Conference COP25 ) currently taking place in Madrid is supposed to prepare the ground for more ambitious national climate commitments. Nowhere is this more important than in the country where national leadership on climate change is least likely: The US. But a new report should give the world hope it's not too late to keep the US on a path in line with global aspirations to avoid the most catastrophic effects of climate change. This will require continued leadership from US states, cities, and businesses that are already stepping up, combined with reinvigorated action from the federal government. The US is the world's second-largest emitter of greenhouse gases, and was the largest overall emitter for decades. Although China surpassed it in 2006, America's cumulative emissions remain unmatched. And yet, far from leading the way on climate action, the US under Donald Trump's administration has rolled back many federal climate and environmental rules and formally indicated its intention to withdraw from the 2015 Paris climate agreement by late next year. Fortunately, the rest of the US is not following Trump's lead. Across the country, a massive coalition of states, cities, businesses, universities, and others have declared ""we are still in"". Despite the federal government's official withdrawal from the Paris agreement, they will take the necessary steps to fulfill America's climate commitments. This is no pie-in-the-sky declaration. The coalition's more than 3,800 participants (and counting) include states, cities, and counties that account for 65% of the US population, nearly 70% of US GDP - equivalent to an economy larger than China's - and over half of US emissions. For example, 145 US cities have committed to 100% clean electricity, and six have already achieved it. But serious questions remain. How much progress can this coalition make to reduce emissions without the federal government's support? And how much better would the situation be if the US administration and Congress recommit to climate action? These are the questions that America's Pledge, a Bloomberg Philanthropies initiative, has been working to answer over the last year. The conclusions are both reassuring and daunting. According to the initiative's just-released third report, Accelerating America's Pledge (produced in collaboration with the Rocky Mountain Institute, the University of Maryland, and the World Resources Institute), stronger action by states, cities, and businesses could reduce US greenhouse-gas emissions by 37% (compared to 2005 levels) by 2030. In other words, even without the federal government, the US can drastically reduce emissions, improve air quality, and stimulate broad-based economic gains. [quote]Success would require an expanded coalition of non-federal actors to move quickly and ambitiously to transform energy and transportation systems, including by building on the innovative measures that US states, cities, and businesses are already taking.[/quote] The impact of such a movement promises to extend beyond US borders, with bottom-up commitments in the country leveraged to increase climate ambition around the world. This is already starting to happen. For example, Alliances for Climate Action connects cities, states, the private sector, investors, universities, and civil-society organisations in Argentina, Japan, Mexico, South Africa, the US, and Vietnam, so that they can work with one another and with their national governments to spur climate action. However, the role of the national government remains important. Despite the potential of bottom-up climate leadership, the fact remains that the results are much better when combined with top-down coordination and oversight. The America's Pledge report shows that aggressive US federal re-engagement on climate action - in the form of a comprehensive ""all-in"" strategy - could reduce emissions by 49% by 2030, putting the country on track to reach net-zero emissions by mid-century. So, despite three years of federal indifference, all hope for effective climate action in the US is not lost. But we cannot afford to rest easy. The needed transformation will require broad citizen mobilisation, increased energy productivity, disruptive innovation,updated market structures, and forward-thinking investment. The US Congress and executive branch must take aggressive, quick action, placing climate change and the associated economic transformation at the top of the policy agenda. The rewards would be tremendous. Beyond environmental benefits, the changes outlined in the America's Pledge report, if designed well and implemented efficiently, could boost prosperity, lower consumer costs, and improve public health. By 2030, the economic transformation could deliver equal or better performance in electricity, vehicles, and buildings compared to fossil-fuel technologies - and at a lower price. For example, it is already cheaper to shut down coal-fired power plants and replace them with wind and solar than it is to keep the plants online. In addition, the transition will create new job opportunities and the careers of the future, including in renewable energy, electric vehicle manufacturing, and sustainable forestry (among others). Recent analysis by the Global Commission on the Economy and Climate shows that smart climate action can create global economic gains of $26trn by 2030, as well as generating 65m jobs. Non-federal US actors have laid a strong foundation for climate action, and they continue to drive progress. But to achieve the necessary transformation as quickly as required, more elected US officials and national leaders will need to step up. <strong>Jules Kortenhorst is CEO of the Rocky Mountain Institute. Andrew Steer is president and CEO of the World Resources Institute.</strong> <strong>Copyright: Project Syndicate, 2019</strong> [readmore]969839[/readmore] \"
"COP25","Ireland","COP25_Ireland10","Default sees Wallace lose Dublin house","December 13, 2019 Friday","The Irish Times","Ireland South MEP and former Wexford TD Mick Wallace is to hand back the keys to his Dublin home next spring after he spends Christmas there. A sitting of Dublin Circuit Civil Court heard Mr Wallace had defaulted on an EUR 825,000 mortgage. The court heard he told a bank official he was unwilling to surrender the property on Clontarf Road, Dublin 3, which is his principal private residence. Judge Jacqueline Linnane was told Mr Wallace had three years ago allegedly threatened the bank that if they did not give him a new loan to buy an apartment in Dublin's Temple Bar he would burn his home and would have to be carried out of it in a coffin. During the hearing, Mr Wallace's lawyers called him after the judge told them that if he wanted a stay on repossession for Christmas he would have to co-operate with the bank and hand back the keys. Mr Wallace agreed to do so and was granted a stay on the possession order for three months. Mr Wallace was elected as a TD for Wexford in 2011 and held the seat until he won a European Parliament seat last May. When running for the European Parliament, he listed his address as his native Wellingtonbridge, Co Wexford. Address At the 2016 general election, the postal address given to the Standards in Public Office commission was the Wexford Youths football club founded by Mr Wallace. The only income for the previous three years listed on his financial declaration as an MEP was his TD's salary, which is detailed in the European Parliament return as between EUR 1,000 and EUR 5,000 gross income per month. Mr Wallace also attended the United Nations climate change conference this week in his capacity as an MEP. The judge initially seemed resistant to granting Mr Wallace more time in the home. She referred to a recent post on social media showing a bare-chested Mr Wallace enjoying a drink on a sunny balcony. ""It looked a lot sunnier than Clontarf,"" the judge said. \"
